Annotation_Id,row_id,post_type,text,V1,V2,V3,V4,V5,V6,V7,V8,total_score,reason,date,annotation_session,Unnamed: 16
277,277,reply,"@ThePatriot420 @MarindaVannoy1 @POTUS When drug costs drop precipitously, it doesn't cost people/insurers more. It costs them LESS. Biden intends to continue to work to see those costs plummet and so does Harris. And if you ever end up with cancer and have huge bills, you will understand the need for this.",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"Backlash at trump supporters due to his ant healthcare policy, not mocking tone ",19/02/2026,1,
489,489,tweet,"trump just said the real threat is ""nuclear warming,"" right before accusing President Biden of saying stupid things. 🙄

WTF is nuclear warming?",3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,13.0,,20/02/2026,1,
428,428,reply,"@atensnut Trump could NEVA! 🤣🤣🤣 Biden is a lawyer, Trump is a dumb entertainer being used by white Christian Nationalist. He's a thin skin old man who can't even handle women reporters without attacking them. 🤣🤣🤣 #HannibalLector #Project2025 
#VoteBlueAsifYourLivesDependonit",3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,11.0,Emotional insulting language aimed at rep candidate trump,20/02/2026,1,
298,298,reply,@guypbenson Kamala Harris will be Biden 2.0 and Obama 3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,"Comment in support of Kamala, no anti partisan language used",19/02/2026,1,
61,61,reply,@akafacehots Yeah Yeah yeah and Hillary’s emails…  MAGA  ploys  are  so predictable and  stale.,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,Clear animosity to MAGA,19/02/2026,1,
10,10,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,11.0,Quote from cnn report detailing poor working and safetey conditions and reliance on foreign labout at app harvest ,19/02/2026,1,
218,218,reply,@NHAunleashed Not this time… we are barely making it through Biden,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,"Context unclear, doesn’t like Biden admin but no clear hatred or animosity  ",19/02/2026,1,
254,254,reply,"@TheLeoTerrell Who is the REAL president now? It ain't Creepy Joe Biden, that's for sure.",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,"Dislike for biden, calling him creepy",19/02/2026,1,
264,264,tweet,Biden lied !,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,accusing biden of lying - context unkown ,19/02/2026,1,
34,34,reply,@marla_vous That is the MAGA nominee. A populist authoritarian organization. The GOP died in 2020. 1 down 1 to go.,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,12.0,,19/02/2026,1,
6,6,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,10.0,Conetxt not totally clear but clear negative emotion to opposing candidate,19/02/2026,1,
216,216,reply,"@farzyness I haven’t seen this in any of their documentation. I recall Biden floating the idea awhile back, but I am not seeing it now. It’s a terrible idea, probably unconstitutional, and likely won’t come back to life.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,"Contect is unclear, therefore can’t really say what is a terrible idea / unconstitutional but seems more opinio than emotional hatred",19/02/2026,1,
46,46,reply,"@MTGrepp NIKKI  SAYS';  TRUMP DOESN'T QUALIFY FOR PRESIDENT,' BUT SHE DOESN'T  CARE ABOUT AMERICA PEOPLE  SHE CARE ABOUT HER JOB.SAME ALL GOP TRUMP'S  SLAVES. SO SHE IS VOTING FOR SOMEONE  DOESN'T  QUALIFY. THIS IS GREAT . https://t.co/FJ3JrirnB5",3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,12.0,"Distrust in NIkki, not grounded in fact . Refers to republicans as trumps slaves ",19/02/2026,1,
273,273,quote,"Wait...you mean biden the child toucher?
They both pedos, folks",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,claiming both presidents have sexual miscondunt allegations - truthfulness of statement is not confirmed,19/02/2026,1,
430,430,reply,@11202011t Lost on the White House grounds again.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,context unclear,20/02/2026,1,
47,47,reply,@Concern70732755 You are just making things up to suit your incredible conservative bias.,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,11.0,Retaliating to a conservative user about the misleading content of their tweet using empotional language ,19/02/2026,1,
224,224,reply,"@Roberts_Rules 😂😂😂The folks Trump calls “animals” tooting his horn They got those COVID checks, avoided eviction and getting school loans reduced/ removed but yeah the guy who left a $3 trillion debt that Biden/Harris worked to clear up … and then COVID! It’s the ignorance that sink us all",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,Comment/questioning on trump supporter logic in their reasons for voting ,19/02/2026,1,
98,98,tweet,Opinion | Elon Musk and Donald Trump share the worst similarities https://t.co/dD6t0G3QvA via @msnbc,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,14.0,"No undemocratic or violent language, however. Some name-calling that implies opposition to bipartisanship and dstrust in candidates. Term ‘the worst similarities’ signifies  distrusts and hatred. Not claiming any political facts, more of a comment. ",19/02/2026,1,
258,258,reply,@RonDeSantis Basically as ethical as Joe Biden,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"Dragging Biden, context unclear",19/02/2026,1,
201,201,reply,@realKyleKeegan I have never heard one person make fun of Biden having a stutter. Seems something the left bring out to make excuses for his in ability to thread a coherent sentence off prompter and sometimes on prompter,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,12.0,Accusing leftists of blaming bidens stutter on his poor speech skills,19/02/2026,1,
268,268,reply,@DemocracyHere Each of the @HouseDemocrats who asked @Pres Biden to step aside after 50 free and fair elections should go too. Overturning elections is wrong not matter which party does it. #NeverKamala #DNCConvention My ballot did not say Biden or Harris for president. https://t.co/mvuvdSRzaO,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,,19/02/2026,1,
467,467,tweet,"🚨 #NEWS: The Case of an Illegal Alien Gang Member Who Assaulted a Border Patrol Agent  

Diego Ibarra was released into the United States in 2023 despite his apparent gang membership and assault of a Border Patrol agent.

After assaulting a Border Patrol agent, Diego's file https://t.co/WXcqy1EeTX",2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,18.0,"Immigration enforcement is a highly politicised issue, and the tweet presents selective, emotively framed details (“Illegal Alien Gang Member,”) that reinforce a particular political narrative.",20/02/2026,1,
440,440,tweet,"Connecticut is too far gone. Whether @MattCoreyCT or @gerryforsenate wins today's ultra low turnout primary, Chris Murphy will win in November because Nutmeg State voters epically suck. #CTPolitics",,,,,,,,,0.0,,20/02/2026,1,
26,26,quote,"He's a Veteran with 24 years of distinguished service. No one can taint that or take it away. MAGA is desperate to shift the narrative away from the couch boy who barely put in 4 years. Nice try, I'm with @GovTimWalz every step of the way until he is our Vice President.",2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,11.0,,19/02/2026,1,
244,244,tweet,"Biden's late-night swan song: Day 1 takeaways from the DNC
Salute president Biden, you gave your best and served the United States of America 🇺🇸. Well done 🫡",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,"Postive comment about biden presidency, not realy partisan related",19/02/2026,1,
446,446,reply,@mjfree Harrison Butker explained the MAGA position on this https://t.co/nCA1fgzRb0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,Headline link,20/02/2026,1,
451,451,reply,"@elonmusk @alexandre Wow.  That is such a shame Elon.  You try to provide world citizens with freedom of speech, and this is how some governments treat you??? 

An utter disgrace is right.",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,Support towards Elon for how govt. Attitudes towards him (Elon musk is rep. advocate),20/02/2026,1,
74,74,reply,"@GOP Why debate when you are in the lead.
Just ask Trump....",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,Mocking tone “Just ask Trump…”,19/02/2026,1,
209,209,reply,"@harris_wins An American citizen must have duties, responsibilities, and benefits. 
As for me, who is half a world away from Washington DC, I have to do the opposite: rights, responsibilities, and then the duties of an American citizen. 
Current US President Joe Biden",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,Unclear what they mean ,19/02/2026,1,
208,208,tweet,Donald Trump and his elections staff rapidly adjusting to Kamala Harris' candidacy... https://t.co/mgyuLyA6gn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"Unbiased language, just reporting",19/02/2026,1,
237,237,reply,"@ryancharleston @Jason @GOP @KamalaHarris I see your opinions were sufficiently downloaded from the MSM.
Good job!",2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,10.0,Doesntl like kamals ideas,19/02/2026,1,
482,482,quote,"Happy Birthday, @USCG!",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,Neutral comment,20/02/2026,1,
263,263,reply,"@chelsey0726 @NancyMace Biden showered with his daughter ! She feared him! Molester!!
Yet you said nothing. You are a fraud",3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,Joe biden sexual misconduct allegations used ,19/02/2026,1,
43,43,reply,@MattWalshBlog @RealBrysonGray Make America Great Again Country - Donald Trump AI is better.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,maga support tweet,19/02/2026,1,
18,18,reply,@ericsuniverse @amyforsandiego @BillMelugin_ the trump supporters in LA county? That massive voting block? What the reporter should know is that the number of people who are completely closed to voting for a Trump supporter far out number folks who are in the maga cult. Especially in LA county.,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,Talking about how a news reporting is reporting inaccurately about the scale of maga supporters,19/02/2026,1,
466,466,reply,@JDVance Reminder that he set up a statewide covid snitch line for informing on neighbors and family,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,14.0,"Hateful language to vance initiative , using this poltical initiave as a point of conflict ",20/02/2026,1,
77,77,reply,"@Socket1Sophie Did a news feature back in the 80s when there was the switch from DHSS to Housing Benefit. 
We had a property company and met the Conservative Minister in Parliament to try and sort the shambles.",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,"No explicit anti-democratic advocacy or attacks on opponents. But is referring to some state of affairs as a “shambles”, context not super clear but seems more like a comment than an attack.",19/02/2026,1,
91,91,reply,@RealCandaceO The problem is that Progressives are a moving target and the GOP are slow to adapt. The right still operate as if it is still a contest between Republicans and Democrats. Fortunately Progressives react like super-balls in a small room. Quirky but manageable.,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,12.0,"Discusses partisan dynamics with a clear political stance and uses exaggeration, but does not reference specific contested factual claims. Comment is more of a claim that the progressives are ‘manageable’, rather than supporting any antidemocratic or violent behaviour",19/02/2026,1,
25,25,reply,@GOP Trump has been bragging how amazing Venezuela is doing though. He keeps bragging their crime in way down. 😹,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,,19/02/2026,1,
58,58,reply,@highbrow_nobrow @AccountableGOP Deflect & Deny. That should be the new MAGA motto.,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,Clear animosity to MAGA supporters,19/02/2026,1,
93,93,reply,"@GNQ__ MAGA brainwashing ok.

The problem is, you see 99% of current issues through the lens of your own sexuality and ignore everything else. You’re young. You have a lot of maturing to do.",3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,14.0,"Exxagerated language towards user of opposing view. no really violent or aggressive language. Broadly questions the target’s judgment and maturity, using dismissive and exaggerated claims, which signals distrust and contempt.",19/02/2026,1,
78,78,reply,"@elonmusk @AutismCapital After the assassination attempt I did a Google search. 

Could not find a conservative outlet but I found two or three links to Al Jazeera...

Been using Duck-Duck-Go a little more since then",2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,10.0,Distrust towards media outlets,19/02/2026,1,
490,490,tweet,"292 page report from House GOP state biden & his family received $27 MILLION from foreign individuals & entities, and this is an ‘impeachable offense.’ 

What took so long? And what is going to be done about it? https://t.co/6pPr63DU4m",3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,15.0,,20/02/2026,1,
267,267,quote,The award meant something aside from Obama and Biden's presidential terms.  I'm not mad at this.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,not sure whta ‘award’ is being mentioned. Neutral commentry.,19/02/2026,1,
8,8,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,12.0,Hatefukl language to whoever they are replying to ,19/02/2026,1,
240,240,reply,"@realDonaldTrump Do you realize Donald Trump got just as many votes in this years Democratic Primary as Kamala Harris did.
Strange, isn't it.",2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,11.0,,19/02/2026,1,
479,479,reply,@Rainmaker1973 Twerking 2028. https://t.co/l8DOZHsojW,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,Harmless coment ,20/02/2026,1,
79,79,reply,@atensnut No that's what they performed on Donald Trump after his fifth scourge child,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,Using strong language “scourge child” ,19/02/2026,1,
448,448,reply,@bruce_steiner No. Trump didn't rape anyone. Now Biden showered with his daughter. Ask Tara Reide how he sexually assaulted her. Back then..she didn't wait to lie for 35 years until he ran for President.,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,14.0,"on poltical candidate scandals to paint them in negative light, to sources ",20/02/2026,1,
429,429,reply,"@CaptainMorganTN @shaunmm2k @KeneAkers Incorrect, only half the address was there. There was another man same name, who was registered democrat. So unlikely as your guy was a republican.  Nice try though. We all know it was all fake anyway. Your guy was trying to rouse up his base. The rest of the world doesn’t care",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,Claim debunking comment with name calling undertones,20/02/2026,1,
